Day,Date High,High,Date Low,Low,Closing,Trades,Shares,Turnover,Last Traded,Days Traded
1/28/2011,28-Jan-11,84,28-Jan-11,83,83,8,14200,1191030,28-Jan-11,1
1/31/2011,31-Jan-11,82,31-Jan-11,82,82,8,3200,262400,31-Jan-11,1
2/1/2011,1-Feb-11,85,1-Feb-11,83.5,83.5,12,25200,2116340,1-Feb-11,1
2/2/2011,2-Feb-11,84,2-Feb-11,82,82.3,25,20000,1654670,2-Feb-11,1
2/3/2011,3-Feb-11,82.5,3-Feb-11,80.5,81.7,6,1300,106020,3-Feb-11,1
2/7/2011,7-Feb-11,89,7-Feb-11,83,84.9,35,59800,5043920,7-Feb-11,1
2/8/2011,8-Feb-11,87,8-Feb-11,81.1,84.8,18,43900,3687790,8-Feb-11,1
2/9/2011,9-Feb-11,84.8,9-Feb-11,82,83.4,15,18400,1528350,9-Feb-11,1
2/10/2011,10-Feb-11,84.9,10-Feb-11,83.6,84.7,28,110000,9309960,10-Feb-11,1
2/11/2011,11-Feb-11,85,11-Feb-11,84,84.9,23,40100,3382590,11-Feb-11,1
2/14/2011,14-Feb-11,85,14-Feb-11,83.5,83.9,14,19800,1665290,14-Feb-11,1
2/15/2011,15-Feb-11,85,15-Feb-11,83.5,84,16,66500,5601230,15-Feb-11,1
2/18/2011,18-Feb-11,84.9,18-Feb-11,84,84.1,7,4000,336270,18-Feb-11,1
2/21/2011,21-Feb-11,83.1,21-Feb-11,83,83,5,1700,141150,21-Feb-11,1
2/22/2011,22-Feb-11,83,22-Feb-11,82,82.2,6,4900,402000,22-Feb-11,1
2/23/2011,23-Feb-11,81.5,23-Feb-11,81,81.2,15,3700,300350,23-Feb-11,1
2/24/2011,24-Feb-11,83,24-Feb-11,81.6,82.3,18,8100,664610,24-Feb-11,1
2/25/2011,25-Feb-11,90,25-Feb-11,86,86.1,105,79900,7055760,25-Feb-11,1
2/28/2011,28-Feb-11,90,28-Feb-11,85.1,85.6,38,18200,1578550,28-Feb-11,1
3/1/2011,1-Mar-11,83.4,1-Mar-11,83,83,13,2500,207780,1-Mar-11,1
3/3/2011,3-Mar-11,83.5,3-Mar-11,81,81.3,23,6800,559220,3-Mar-11,1
3/4/2011,4-Mar-11,82.5,4-Mar-11,82.5,82.5,7,5800,478500,4-Mar-11,1
3/7/2011,7-Mar-11,83.5,7-Mar-11,82.2,82.7,23,14700,1217620,7-Mar-11,1
3/8/2011,8-Mar-11,83,8-Mar-11,82.1,82.7,34,12600,1039970,8-Mar-11,1
3/9/2011,9-Mar-11,84,9-Mar-11,80,80.6,33,21800,1777180,9-Mar-11,1
3/10/2011,10-Mar-11,82,10-Mar-11,82,82,5,1700,139400,10-Mar-11,1
3/11/2011,11-Mar-11,83,11-Mar-11,82,82.7,16,12700,1047840,11-Mar-11,1
3/14/2011,14-Mar-11,84,14-Mar-11,81.3,81.8,25,27500,2256930,14-Mar-11,1
